SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
968602;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.";"AV  BRASIL N  330";-;"CENTRO";"76380070";"GOIANESIA";"GO";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobcoopercred/para-voce";
25387671;"COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS";"RUA MAJOR GOTE";"1699";"CENTRO";"38700001";"PATOS DE MINAS";"MG";"Brasil";-;-;-;
8044854;"COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO";"RUA MANOEL FRANCO, 1050";-;"NOVA BRASILIA";"76908442";"JI-PARANA";"RO";"Brasil";-;-;"https://www.sicoobcentro.com.br";
14913919;"COOPERATIVA DE CREDITO DO MERCADO IMOBILIÁRIO - SICOOB IMOB.VC";"RUA SERGIPE  1000";-;"SAVASSI";"30130174";"BELO HORIZONTE";"MG";"Brasil";-;-;"https://www.secovicredmg.com.br";
3033469;"COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA";"AV  LUIZ DE CAMOES 243";-;"CORAL";"88523000";"LAGES";"SC";"Brasil";-;-;-;
53776852;"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO";"AVENIDA CIENTISTA FREDERICO DE MARCO, 21";-;"VILA XAVIER";"14810185";"ARARAQUARA";"SP";"Brasil";-;-;"https://www.credicentrosp.com.br";
27302181;"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";"AV  MARECHAL CAMPOS  1355";-;"SANTA CECILIA";"29043260";"VITORIA";"ES";"Brasil";-;-;"https://www.credufes.coop.br";
4281182;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO";"AV  PORTO ALEGRE  223";"E   SALAS 101  201  303 E 403";"CENTRO";"89802132";"CHAPECO";"SC";"Brasil";-;-;"https://www.cresolcentral.com.br";
5410056;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL LITORAL";"AVENIDA DUQUE DE CAXIAS 378";-;"CENTRO";"88715000";"JAGUARUNA";"SC";"Brasil";-;-;"https://www.cresolcentral.com.br";
9488496;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL SÃO JOÃO DO SUL";"RUA ANSELMO BORBA  N  406";"SALA 02";"CENTRO";"88970000";"SAO JOAO DO SUL";"SC";"Brasil";-;-;-;
9463721;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL JACINTO MACHADO";"RUA POOL JORGE ZACCA  N  135";-;"CENTRO";"88950000";"JACINTO MACHADO";"SC";"Brasil";-;-;"https://www.cresolcentral.com.br";
7958405;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL SERRA MAR";"RUA JORGE LACERDA  294";"SALA 01";"CENTRO";"88760000";"RIO FORTUNA";"SC";"Brasil";-;-;"https://www.cresolcentral.com.br";
9330158;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL TREZE DE MAIO";"RUA OLINDO NANDI  70";-;"CENTRO";"88710000";"TREZE DE MAIO";"SC";"Brasil";-;-;-;
971300;"COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA";"AVENIDA 28 DE NOVEMBRO  71";"CENTRO";"CENTRO";"85660000";"DOIS VIZINHOS";"PR";"Brasil";-;-;"https://www.cresol.com.br";
59869560;"COOPERATIVA DE CREDITO NOSSO - SICOOB NOSSO";"AL  DR  ARMANDO SALLES DE OLIVEIRA  N  446";-;"CENTRO";"17800000";"ADAMANTINA";"SP";"Brasil";-;-;-;
2382755;"COOPERATIVA DE CREDITO POTIGUAR - SICOOB POTIGUAR";"TRAVESSA DOIS DE NOVEMBRO  430";-;"ALECRIM";"59030170";"NATAL";"RN";"Brasil";-;-;-;
63229629;"COOPERATIVA DE CREDITO RURAL ASCOOB SISAL";"AV. MANOEL NOVAIS, 485";-;"CENTRO";"48700000";"SERRINHA";"BA";"Brasil";-;-;"https://www.cresol.com.br";
32422628;"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ";"RUA BOM JESUS DO LIVRAMENTO, 25";-;"CENTRO";"29560000";"GUACUI";"ES";"Brasil";-;-;"https://crediguacui.com";
8240446;"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM";"AVENIDA 20 DE JULHO";"830";"CENTRO";"89652000";"IBIAM";"SC";"Brasil";-;-;"https://www.sulcrediibiam.com.br/";
204963;"COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA";"AVENIDA BEIRA RIO 06";-;"CENTRO";"89770000";"SEARA";"SC";"Brasil";-;-;"https://www.crediseara.com.br";
32615247;"COOPERATIVA DE CREDITO SICOOB COOPEC LTDA.";"AVENIDA DO CINQUENTENaRIO";"1  E 2  ANDAR";"CENTRO";"45600006";"ITABUNA";"BA";"Brasil";-;-;"https://www.coopec.org.br";
82639451;"COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI";"RUA HERMANN HERING,1125";-;"BOM RETIRO";"89010675";"BLUMENAU";"SC";"Brasil";-;-;"https://www.viacredi.coop.br";
72128440;"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO RIO DE JANEIRO - SICREDI RIO RJ";"RUA SOROCABA  500";-;"BOTAFOGO";"22271110";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.sicredi.com.br";
84974278;"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP";"AV  XV DE NOVEMBRO  374";"PREDIO 2 PISOS";"CENTRO";"85570000";"SAO JOAO";"PR";"Brasil";-;-;"https://www.sicredi.com.br";
79052122;"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP";"R ESPIRITO SANTO  991";-;"CENTRO";"85960000";"MARECHAL CANDIDO RONDON";"PR";"Brasil";-;-;-;
82065285;"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP";"AV  BRASIL  N  543";-;"CENTRO";"85525000";"MARIOPOLIS";"PR";"Brasil";-;-;-;
3612764;"COOPERATIVA DE CRÉDITO  DE FRONTEIRAS  LTDA. - SICOOB FRONTEIRAS";"RUA SAO LUIZ  1230";-;"CENTRO";"76973884";"CACOAL";"RO";"Brasil";-;-;-;
5545390;"COOPERATIVA DE CRÉDITO - SICREDI COOMAMP";"RUA DOS AZULOES 1";"EDIFICIO OFFICE TOWER  SALAS 720 723";"JARDIM RENASCENCA";"65075060";"SAO LUIS";"MA";"Brasil";-;-;"https://www.sicredi.com.br/coomamp/";
70038237;"COOPERATIVA DE CRÉDITO - SICREDI RIO GRANDE DO NORTE";"RUA TUIUTI  765";-;"PETROPOLIS";"59014160";"NATAL";"RN";"Brasil";-;-;"https://www.sicredi.com.br/natal/";
42873828;"COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI";"RUA CAPITAO JOAQUIM NORBERTO";"105 E 129";"CENTRO";"37800000";"GUAXUPE";"MG";"Brasil";-;-;"https://www.agrocredi.com.br";
87795639;"COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES";"RUA GUSTAVO SILVEIRA FERRET  124";-;"SANTA LUCIA";"99150000";"MARAU";"RS";"Brasil";-;-;-;
80959612;"COOPERATIVA DE CRÉDITO ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE";"RUA WENCESLAU BORINI  890";"SALA 01";"CANTA GALO";"89163152";"RIO DO SUL";"SC";"Brasil";-;-;"https://www.sicoobaltovale.coop.br";
3320525;"COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP";"RUA PADRE NORBERTO  N 390";-;"JARDIM REGINA";"38440148";"ARAGUARI";"MG";"Brasil";-;-;"https://www.sicoobaracoop.com.br";
68987;"COOPERATIVA DE CRÉDITO ARACREDI LTDA. - SICOOB ARACREDI";"RUA MAJOR JOAQUIM MAGALHÃES";"303";"CENTRO";"38440152";"ARAGUARI";"MG";"Brasil";-;-;"https://www.sicoobaracredi.com.br";
41753500;"COOPERATIVA DE CRÉDITO CARLOS CHAGAS LTDA. - SICOOB CARLOS CHAGAS";"AV  CAPITAO JOAO PINTO 17";"B";"CENTRO";"39864000";"CARLOS CHAGAS";"MG";"Brasil";-;-;-;
88471024;"COOPERATIVA DE CRÉDITO CENTRO LESTE - SICREDI CENTRO LESTE RS";"RUA SALDANHA MARINHO  825";-;"CENTRO";"96508001";"CACHOEIRA DO SUL";"RS";"Brasil";-;-;-;
